NM_MUN,year,area_km
Paragominas,2021.0,31.522358577862526
Paragominas,2022.0,47.303097085410066
Paragominas,2023.0,32.376223459802254
Parauapebas,2008.0,28.091611832090212
Parauapebas,2009.0,4.612644523768795
Parauapebas,2010.0,4.231618605945261
Parauapebas,2011.0,2.23299359589078
Parauapebas,2012.0,4.448371380652369
Parauapebas,2013.0,4.576356309741303
Parauapebas,2014.0,1.608569522487838
Parauapebas,2015.0,1.928507144297289
Parauapebas,2016.0,6.175390364016664
Parauapebas,2017.0,1.5169572939784821
Parauapebas,2018.0,3.030614240559546
Parauapebas,2019.0,4.643722006387174
Parauapebas,2020.0,4.021180949038168
Parauapebas,2021.0,10.114201194764435
Parauapebas,2022.0,4.206896204253633
Parauapebas,2023.0,3.1769183479990692
Pau D'Arco,2008.0,17.23228461493145
Pau D'Arco,2009.0,4.887220051531073
Pau D'Arco,2010.0,1.074549014135389
Pau D'Arco,2011.0,2.49799796908208
Pau D'Arco,2012.0,1.382396670367331
Pau D'Arco,2013.0,3.083394083767387
Pau D'Arco,2014.0,0.997554147916922
Pau D'Arco,2015.0,0.6074085207785971
Pau D'Arco,2016.0,0.55883430824503
Pau D'Arco,2017.0,0.484647147442083
Pau D'Arco,2018.0,0.42739219020929897
Pau D'Arco,2019.0,1.420241493568748
Pau D'Arco,2020.0,2.954652578209968
Pau D'Arco,2021.0,3.905181450007197
Pau D'Arco,2022.0,1.623986446420114
Pau D'Arco,2023.0,4.737266633348131
Peixe-Boi,2008.0,3.906207450961226
Peixe-Boi,2009.0,0.135985949333582
Peixe-Boi,2010.0,0.509773579531651
Peixe-Boi,2011.0,0.389924937494623
Peixe-Boi,2012.0,0.34369196011563197
Peixe-Boi,2013.0,0.489785338859735
Peixe-Boi,2015.0,1.620546454044284
Peixe-Boi,2016.0,0.527650416243084
Peixe-Boi,2017.0,1.8012528089444622
Peixe-Boi,2018.0,0.26558390497373296
Peixe-Boi,2020.0,0.248097920582121
Peixe-Boi,2021.0,0.315284425650435
Peixe-Boi,2022.0,0.143493231170319
Peixe-Boi,2023.0,0.296207695309042
Piçarra,2008.0,17.85939360393734
Piçarra,2009.0,12.365947415358045
Piçarra,2010.0,11.968080255828895
Piçarra,2011.0,3.829391640108321
Piçarra,2012.0,2.3342187237960332
Piçarra,2013.0,3.548771946742344
Piçarra,2014.0,5.0725671863405
Piçarra,2015.0,3.093125517795198
Piçarra,2016.0,3.314637015815944
Piçarra,2017.0,2.766969905009944
Piçarra,2018.0,3.860374240134024
Piçarra,2019.0,1.992578190127537
Piçarra,2020.0,1.605847780442304
Piçarra,2021.0,2.021616606629378
Piçarra,2022.0,1.937041488701829
Piçarra,2023.0,1.063537446230936
Placas,2008.0,86.70576107473842
Placas,2009.0,40.16529914856754
Placas,2010.0,56.93848906877808
Placas,2011.0,40.50766091911018
